component,checkpoint,source_checkpoint,dataset,match_iou,threshold_B,threshold_C,threshold_D,precision,recall,f1,B_recall,C_recall,D_recall,tp,fp,fn,selection_note
tenjo,checkpoints/tenjo_standard_orig_checkpoint_epoch_009.pth,outputs/rfdetr_single_crack/tenjo_medium_standard_dual_cpu_eval_v2_20260609/epoch_pth/checkpoint_epoch_009.pth,data/rfdetr_tenjo_all_non_legacy_test_v1,0.229,0.25,0.35,0.35,0.650,0.812,0.722,0.727,0.917,0.778,26,14,6,balanced practical point around P 0.6 and R 0.8
tenjo_recall_priority,checkpoints/tenjo_standard_orig_checkpoint_epoch_009.pth,outputs/rfdetr_single_crack/tenjo_medium_standard_dual_cpu_eval_v2_20260609/epoch_pth/checkpoint_epoch_009.pth,data/rfdetr_tenjo_all_non_legacy_test_v1,0.229,0.20,0.35,0.35,0.614,0.844,0.711,0.818,0.917,0.778,27,17,5,higher recall alternative with still usable precision
rc_wall,checkpoints/rc_wall_checkpoint_epoch_009.pth,outputs/rfdetr_single_crack/rc_wall_report_best_c_crop_e001_p0722_r0812/checkpoint_epoch_001.pth,data/rfdetr_rc_wall_all_non_legacy_test_v1,0.229,0.28,0.45,0.25,0.722,0.812,0.765,0.857,0.600,1.000,26,10,6,2026-06-16 optimized checkpoint; fixed report thresholds; previous packaged checkpoint retained under downstream/rc_wall/references
inner_wall,checkpoints/inner_wall_checkpoint_epoch_026.pth,outputs/rfdetr_single_crack/inner_wall_medium_all_non_legacy_test_v1/epoch_pth/checkpoint_epoch_026.pth,data/rfdetr_inner_wall_all_non_legacy_test_v1,0.229,0.25,0.40,0.40,0.811,0.909,0.857,0.875,1.000,0.889,30,7,3,best F1 practical point
inner_wall_precision_priority,checkpoints/inner_wall_checkpoint_epoch_026.pth,outputs/rfdetr_single_crack/inner_wall_medium_all_non_legacy_test_v1/epoch_pth/checkpoint_epoch_026.pth,data/rfdetr_inner_wall_all_non_legacy_test_v1,0.229,0.40,0.40,0.40,0.824,0.848,0.836,0.750,1.000,0.889,28,6,5,higher precision alternative
